"No.","Time","Source","Source Port","Destination","Destination Port","Protocol","Length","Info"
"158","2020-06-06 13:37:00,671040","192.168.100.121","63454","192.168.100.2","domain","DNS","86","Standard query 0x0001 PTR 2.100.168.192.in-addr.arpa"
"159","2020-06-06 13:37:00,676477","192.168.100.2","domain","192.168.100.121","63454","DNS","86","Standard query response 0x0001 No such name PTR 2.100.168.192.in-addr.arpa"
"160","2020-06-06 13:37:00,676758","192.168.100.121","63455","192.168.100.2","domain","DNS","87","Standard query 0x0002 TXT c.1-1.24006.ns.ostrykebs.pl"
"161","2020-06-06 13:37:02,568588","fe:54:00:b9:4c:39","","Spanning-tree-(for-bridges)_00","","STP","52","Conf. Root = 32768/0/52:54:00:2f:9e:49  Cost = 0  Port = 0x8003"
"162","2020-06-06 13:37:02,684650","192.168.100.2","domain","192.168.100.121","63455","DNS","87","Standard query response 0x0002 Server failure TXT c.1-1.24006.ns.ostrykebs.pl"
"163","2020-06-06 13:37:02,685272","192.168.100.121","","192.168.100.2","","ICMP","115","Destination unreachable (Port unreachable)"
"164","2020-06-06 13:37:02,836904","192.168.100.121","63456","192.168.100.2","domain","DNS","86","Standard query 0x0001 PTR 2.100.168.192.in-addr.arpa"
"165","2020-06-06 13:37:02,842445","192.168.100.2","domain","192.168.100.121","63456","DNS","86","Standard query response 0x0001 No such name PTR 2.100.168.192.in-addr.arpa"
"166","2020-06-06 13:37:02,842796","192.168.100.121","63457","192.168.100.2","domain","DNS","87","Standard query 0x0002 TXT c.1-1.24006.ns.ostrykebs.pl"
"167","2020-06-06 13:37:03,003264","fe80::a179:b3ff:199:2314","dhcpv6-client","ff02::1:2","dhcpv6-server","DHCPv6","149","Solicit XID: 0x615da4 CID: 00010001216821485254004aad11 "
"168","2020-06-06 13:37:03,850094","192.168.100.2","domain","192.168.100.121","63457","DNS","87","Standard query response 0x0002 Server failure TXT c.1-1.24006.ns.ostrykebs.pl"
"169","2020-06-06 13:37:04,026621","192.168.100.121","63458","192.168.100.2","domain","DNS","86","Standard query 0x0001 PTR 2.100.168.192.in-addr.arpa"
"170","2020-06-06 13:37:04,031929","192.168.100.2","domain","192.168.100.121","63458","DNS","86","Standard query response 0x0001 No such name PTR 2.100.168.192.in-addr.arpa"
"171","2020-06-06 13:37:04,032222","192.168.100.121","63459","192.168.100.2","domain","DNS","87","Standard query 0x0002 TXT c.1-1.24006.ns.ostrykebs.pl"
"172","2020-06-06 13:37:04,300244","52:54:00:4a:04:af","","52:54:00:36:3e:ff","","ARP","42","Who has 192.168.100.2? Tell 192.168.100.121"
"173","2020-06-06 13:37:04,300534","52:54:00:36:3e:ff","","52:54:00:4a:04:af","","ARP","42","192.168.100.2 is at 52:54:00:36:3e:ff"
"174","2020-06-06 13:37:04,552547","fe:54:00:b9:4c:39","","Spanning-tree-(for-bridges)_00","","STP","52","Conf. Root = 32768/0/52:54:00:2f:9e:49  Cost = 0  Port = 0x8003"
"175","2020-06-06 13:37:06,040974","192.168.100.2","domain","192.168.100.121","63459","DNS","87","Standard query response 0x0002 Server failure TXT c.1-1.24006.ns.ostrykebs.pl"
"176","2020-06-06 13:37:06,042337","192.168.100.121","","192.168.100.2","","ICMP","115","Destination unreachable (Port unreachable)"
"177","2020-06-06 13:37:06,390944","192.168.100.121","63460","192.168.100.2","domain","DNS","86","Standard query 0x0001 PTR 2.100.168.192.in-addr.arpa"
"178","2020-06-06 13:37:06,396962","192.168.100.2","domain","192.168.100.121","63460","DNS","86","Standard query response 0x0001 No such name PTR 2.100.168.192.in-addr.arpa"
"179","2020-06-06 13:37:06,397847","192.168.100.121","63461","192.168.100.2","domain","DNS","87","Standard query 0x0002 TXT c.1-1.24006.ns.ostrykebs.pl"
"180","2020-06-06 13:37:06,568576","fe:54:00:b9:4c:39","","Spanning-tree-(for-bridges)_00","","STP","52","Conf. Root = 32768/0/52:54:00:2f:9e:49  Cost = 0  Port = 0x8003"
"181","2020-06-06 13:37:07,405903","192.168.100.2","domain","192.168.100.121","63461","DNS","87","Standard query response 0x0002 Server failure TXT c.1-1.24006.ns.ostrykebs.pl"
"182","2020-06-06 13:37:07,547441","192.168.100.121","63462","192.168.100.2","domain","DNS","86","Standard query 0x0001 PTR 2.100.168.192.in-addr.arpa"
